"Country.Name","Country.Code","Year","GINI_Index"
"Argentina","ARG",2007,46.3
"Brazil","BRA",2007,54.9
"Costa Rica","CRI",2007,49.3
"Peru","PER",2007,50
"Argentina","ARG",2008,45
"Brazil","BRA",2008,54
"Colombia","COL",2008,55.3
"Costa Rica","CRI",2008,48.6
"Mexico","MEX",2008,50.8
"Peru","PER",2008,47.5
"Argentina","ARG",2009,43.8
"Brazil","BRA",2009,53.7
"Chile","CHL",2009,47.4
"Colombia","COL",2009,54.3
"Costa Rica","CRI",2009,50.6
"Peru","PER",2009,47
"Argentina","ARG",2010,43.7
"Colombia","COL",2010,54.6
"Costa Rica","CRI",2010,48
"Mexico","MEX",2010,47.7
"Peru","PER",2010,45.5
"Argentina","ARG",2011,42.7
"Brazil","BRA",2011,52.9
"Chile","CHL",2011,46.9
"Colombia","COL",2011,53.5
"Costa Rica","CRI",2011,48.8
"Peru","PER",2011,44.7
"Argentina","ARG",2012,41.4
"Brazil","BRA",2012,53.4
"Colombia","COL",2012,52.6
"Costa Rica","CRI",2012,48.4
"Mexico","MEX",2012,49.6
"Peru","PER",2012,44.4
"Argentina","ARG",2013,41.1
"Brazil","BRA",2013,52.7
"Chile","CHL",2013,46.8
"Colombia","COL",2013,52.6
"Costa Rica","CRI",2013,49.2
"Peru","PER",2013,43.9
"Argentina","ARG",2014,41.8
"Brazil","BRA",2014,52
"Colombia","COL",2014,52.5
"Costa Rica","CRI",2014,48.6
"Mexico","MEX",2014,48.9
"Peru","PER",2014,43.1
"Brazil","BRA",2015,51.9
"Chile","CHL",2015,45.3
"Colombia","COL",2015,51
"Costa Rica","CRI",2015,48.4
"Peru","PER",2015,43.4
"Argentina","ARG",2016,42.3
"Brazil","BRA",2016,53.4
"Colombia","COL",2016,50.6
"Costa Rica","CRI",2016,48.7
"Mexico","MEX",2016,46.9
"Peru","PER",2016,43.6
"Argentina","ARG",2017,41.4
"Brazil","BRA",2017,53.3
"Chile","CHL",2017,45.3
"Colombia","COL",2017,49.7
"Costa Rica","CRI",2017,48.3
"Peru","PER",2017,43.3
"Argentina","ARG",2018,41.7
"Brazil","BRA",2018,53.9
"Colombia","COL",2018,50.4
"Costa Rica","CRI",2018,48
"Mexico","MEX",2018,46
"Peru","PER",2018,42.4
"Argentina","ARG",2019,43.3
"Brazil","BRA",2019,53.5
"Colombia","COL",2019,51.3
"Costa Rica","CRI",2019,48.2
"Peru","PER",2019,41.5
"Argentina","ARG",2020,42.7
"Brazil","BRA",2020,48.9
"Chile","CHL",2020,47
"Colombia","COL",2020,53.5
"Costa Rica","CRI",2020,49.2
"Mexico","MEX",2020,44.6
"Peru","PER",2020,43.7
"Argentina","ARG",2021,42.4
"Brazil","BRA",2021,52.9
"Colombia","COL",2021,55.1
"Costa Rica","CRI",2021,48.7
"Peru","PER",2021,40.1
"Argentina","ARG",2022,40.7
"Brazil","BRA",2022,52
"Chile","CHL",2022,43
"Colombia","COL",2022,54.8
"Costa Rica","CRI",2022,47.2
"Mexico","MEX",2022,43.5
"Peru","PER",2022,40.3
"Costa Rica","CRI",2023,46.7
