"Country","Year","GINI_Index","Democratization_Level","Education_Expenditure","GDP_per_Capita"
"Brazil",1998,59.6,27.4,4.76,6818.91
"Chile",1998,55.5,21.5,3.32,8265.49
"Costa Rica",1998,45.6,20.9,4.89,6790.19
"Mexico",1998,53.3,19.8,3.37,8339.92
"Peru",1998,55.1,11.2,3.28,3803.35
"Argentina",1999,49.8,26.1,4.52,9222.31
"Brazil",1999,59,27.4,3.8,6537.19
"Colombia",1999,58.5,14.8,4.44,5257.72
"Costa Rica",1999,47.6,20.9,5.39,7189.92
"Peru",1999,54.8,11.2,3.44,3787.05
"Argentina",2000,51,26.1,4.58,9053.94
"Chile",2000,52.8,23,3.76,8299.2
"Colombia",2000,58.4,14.8,3.51,5375.45
"Costa Rica",2000,47.4,20.9,4.67,7264.27
"Mexico",2000,53.4,21.2,3.99,9549.6
"Peru",2000,49.1,8.5,3.23,3943.76
"Argentina",2001,53.3,26.1,4.83,8612.66
"Brazil",2001,58.4,27.4,3.84,6646.47
"Colombia",2001,57.3,14.8,3.71,5443.55
"Costa Rica",2001,51.5,20.9,4.83,7099.04
"Peru",2001,51.3,18.9,3.04,3988.59
"Argentina",2002,53.8,26.1,4.02,7402.7
"Brazil",2002,58.1,27,3.75,6651.05
"Colombia",2002,56,12.1,4.27,5473.34
"Costa Rica",2002,51.8,15.4,5.15,6991.72
"Mexico",2002,50.6,21.2,4.45,9809.68
"Peru",2002,53.6,18.9,2.82,4223.44
"Argentina",2003,51,35.8,3.54,8068.42
"Brazil",2003,57.6,24.6,3.86,6619.6
"Chile",2003,51.5,23,3.92,8767.5
"Colombia",2003,53.6,12.1,4.33,5658.72
"Costa Rica",2003,49.3,15.4,5.13,7287.18
"Peru",2003,53.1,18.9,2.94,4513.88
"Argentina",2004,48.5,35.8,3.49,8794.29
"Brazil",2004,56.5,24.6,3.97,7027.97
"Colombia",2004,55,12.1,4.08,6000.23
"Costa Rica",2004,48.4,15.4,4.89,7609.08
"Mexico",2004,50.3,21.2,4.73,10763.58
"Peru",2004,49.9,18.9,2.96,4953.84
"Argentina",2005,47.8,35.8,3.86,9701.86
"Brazil",2005,56.3,27.3,4.48,7378.42
"Colombia",2005,53.9,12.1,4.02,6400.86
"Costa Rica",2005,47.5,15.4,4.755,8243.87
"Mexico",2005,50.9,21.2,4.85,11930.97
"Peru",2005,50.4,18.9,2.84,5578.26
"Argentina",2006,46.4,35.8,4.13,10726.71
"Brazil",2006,55.6,28.1,4.87,7876.56
"Chile",2006,47.7,19.7,3.04,12959.77
"Costa Rica",2006,49.3,19.8,4.62,8582.65
"Mexico",2006,49.7,23.1,4.7,12502.94
"Peru",2006,50.3,22.8,2.65,6330.91
"Argentina",2007,46.3,24.8,4.46,11776.18
"Brazil",2007,54.9,28.1,4.97,8458.79
"Costa Rica",2007,49.3,22.7,4.63,8769.1
"Peru",2007,50,22.8,2.63,7050.99
"Argentina",2008,45,24.8,4.84,12511.48
"Brazil",2008,54,28.1,5.27,8941.49
"Colombia",2008,55.3,9.9,3.94,7782
"Costa Rica",2008,48.6,19.8,4.89,8711.52
"Mexico",2008,50.8,23.1,4.82,13240.08
"Peru",2008,47.5,22.8,2.87,7771.86
"Argentina",2009,43.8,24.8,5.53,12813.06
"Brazil",2009,53.7,28.1,5.46,8970.06
"Chile",2009,47.4,19.7,4.25,13977.19
"Colombia",2009,54.3,9.9,4.78,7997.74
"Costa Rica",2009,50.6,19.8,6.01,9264.84
"Peru",2009,47,22.8,3.14,7931.16
"Argentina",2010,43.7,24.8,5.02,13933.29
"Colombia",2010,54.6,8.1,4.83,8270.65
"Costa Rica",2010,48,21.8,6.57,9400.06
"Mexico",2010,47.7,23.1,5.16,13183.17
"Peru",2010,45.5,22.8,2.87,8646.26
"Argentina",2011,42.7,25.22,5.29,15102.61
"Brazil",2011,52.9,31.7,5.74,9815.24
"Chile",2011,46.9,20.1,4.06,15519.08
"Colombia",2011,53.5,8.1,4.47,8761.14
"Costa Rica",2011,48.8,21.8,6.38,9485.71
"Peru",2011,44.7,34.94,2.66,9227.15
